Designator;Package;Quantity;Designation;Supplier and ref;;
IC2,IC1;TO-92L_Inline;2;DS1813-10+;;;
C18,C5,C17,C16,C15,C14,C12,C9,C4,C2;C_Disc_D4.3mm_W1.9mm_P5.00mm;10;10n;;;
R27,R26,R25,R24,R23,R15,R8,R1;R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;8;10k;;;
R22,R21,R18,R17,R14,R6,R5,R4,R3,R2;R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;10;1k;;;
R13,R12,R11,R10,R9;R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;5;330R;;;
LED4,LED3,LED2,LED1;LED_D3.0mm;4;Red LED;;;
D1;LED_D3.0mm;1;Green LED;;;
X3;Oscillator_DIP-8;1;1.8432MHz;;;
D8,D7,D6,D5,D4,D3,D2;D_DO-35_SOD27_P7.62mm_Horizontal;7;1N4148;;;
C11,C10,C8,C7,C6,C3,C1;C_Disc_D4.3mm_W1.9mm_P5.00mm;7;1u;;;
SLOT0,SLOT5,SLOT4,SLOT3,SLOT2,SLOT1;PinSocket_2x25_P2.54mm_Vertical;6;Conn_02x25;;;
J3;PinSocket_1x06_P2.54mm_Vertical;1;Conn_01x06;;;
J2;PinHeader_2x02_P2.54mm_Vertical;1;Conn_02x02_Odd_Even;;;
X1;Oscillator_DIP-8;1;24MHz;;;
J1;USB_Micro-B_Molex-105017-0001;1;USB_B_Micro;;;
;;;;;;
RESET1,NMI1;SW_PUSH_6mm;2;SW_Push;;;
C13;CP_Radial_D6.3mm_P2.50mm;1;47u;;;
SW1;SW_E-Switch_EG1271_DPDT;1;SW_SPST;;;
;;;;;;
U1;DIP-16_W7.62mm_Socket;1;74AC161;;;
U4;DIP-24_W7.62mm_Socket;1;PAL24;;;
U5;DIP-20_W7.62mm_Socket;1;GAL16V8;;;
U6;DIP-40_W15.24mm_Socket;1;W65C02SxP;;;
U7;DIP-28_W7.62mm_Socket;1;IDT71256;;;
U8;DIP-28_W15.24mm_Socket;1;AT28C256;;;
U9;DIP-28_W15.24mm_Socket;1;W65C51NxP;;;
