Ref;Qnty;Value;Cmp name;Footprint;Description;Vendor
C1, C2, C4,;3;10n;C_Small;Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm;Unpolarized capacitor, small symbol;
C3,;1;100n;C_Small;Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm;Unpolarized capacitor, small symbol;
D1, D2, D3, D4, D5, D6, D7, D8,;8;LED;LED;LED_THT:LED_D3.0mm_Horizontal_O3.81mm_Z6.0mm;Light emitting diode;
J1,;1;Conn_01x40;Conn_02x25_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Horizontal;Generic connector, double row, 02x25, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers);
J2,;1;Conn_02x06_Odd_Even;Conn_02x06_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Horizontal;Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers);
J3,;1;Mini-DIN-6;Mini-DIN-6;mini-din:MINI-DIN-6-FULL-SHIELD;6-pin Mini-DIN connector;
J4,;1;Conn_02x10_Odd_Even;Conn_02x10_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal;Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers);
R1, R2,;2;1k;R_Small;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;Resistor, small symbol;
R3, R4,;2;10k;R_Small;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;Resistor, small symbol;
R5, R6, R7, R8, R9, R10, R11, R12,;8;470R;R_Small;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;Resistor, small symbol;
U1,;1;74LS138;74LS138;Package_DIP:DIP-16_W7.62mm_Socket;Decoder 3 to 8 active low outputs;
U2,;1;W65C22NxP;W65C22NxP;Package_DIP:DIP-40_W15.24mm_Socket;W65C22N CMOS Versatile Interface Adapter (VIA), 20-pin I/O, 2 Timer/Counters, NMOS-Compatible, DIP-40;
U3,;1;74LS14;74LS14;Package_DIP:DIP-14_W7.62mm_Socket;Hex inverter schmitt trigger;
