Ref;Qnty;Value;Cmp name;Footprint;Description;Vendor
C1, C3, C7, C8, C10, C11,;6;1u;C_Small;Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm;Unpolarized capacitor, small symbol;
C2, C4, C5, C9, C12, C14, C15, C16, C17,;9;10n;C_Small;Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm;Unpolarized capacitor, small symbol;
C6,;1;47n;C_Small;Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm;Unpolarized capacitor, small symbol;
C13,;1;47u;C_Small;Capacitor_THT:CP_Radial_D6.3mm_P2.50mm;Unpolarized capacitor, small symbol;
D1,;1;LED;LED;LED_THT:LED_D3.0mm;Light emitting diode;
D2, D3, D4, D5, D6, D7, D8,;7;1N4148;D;Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal;Diode;
H1, H2, H3, H5, H6,;5;MountingHole_Pad;MountingHole_Pad;MountingHole:MountingHole_3.2mm_M3_Pad;Mounting Hole with connection;
J1,;1;USB_B_Micro;USB_B_Micro-Connector;Connector_USB:USB_Micro-B_Molex-105017-0001;;
J2,;1;Conn_02x02_Odd_Even;Conn_02x02_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical;Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/);
J3,;1;Conn_01x06;Conn_01x06;Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical;Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/);
J4,;1;Conn_01x14;Conn_01x14;Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical;Generic connector, single row, 01x14, script generated (kicad-library-utils/schlib/autogen/connector/);
LED1, LED2, LED3, LED4,;4;LED;LED;LED_THT:LED_D3.0mm;Light emitting diode;
NMI1,;1;SW_Push;SW_Push;Button_Switch_THT:SW_PUSH_6mm;Push button switch, generic, two pins;
R1, R8, R15, R23, R24, R25, R26,;7;10k;R_Small;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;Resistor, small symbol;
R2, R3, R4, R5, R6, R14, R17, R18, R21, R22,;10;1k;R_Small;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;Resistor, small symbol;
R9, R10, R11, R12, R13,;5;470R;R_Small;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;Resistor, small symbol;
R16,;1;4.7k;R_Small;Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal;Resistor, small symbol;
R27,;1;10k;R_Small;Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal;Resistor, small symbol;
RESET1,;1;SW_Push;SW_Push;Button_Switch_THT:SW_PUSH_6mm;Push button switch, generic, two pins;
SLOT0, SLOT1, SLOT2, SLOT3, SLOT4, SLOT5,;6;Conn_01x40;Conn_02x25_Odd_Even;Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical;Generic connector, double row, 02x25, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/);
SW1,;1;SW_SPST;SW_SPST;Button_Switch_THT:SW_E-Switch_EG1271_DPDT;Single Pole Single Throw (SPST) switch;
U1,;1;74AC161;74LS161;Package_DIP:DIP-16_W7.62mm_Socket;Synchronous 4-bit programmable binary Counter;
U2, U3,;2;MAX811SEUS-T;MAX811SEUS-T;Package_TO_SOT_SMD:SOT-143;Power supply supervisor, Manual reset, Threshold 2.93V, SOT-143;
U4,;1;PAL24;PAL24;Package_DIP:DIP-24_W7.62mm_Socket;generic 24-pin Programmable Array Logic (PAL) device;
U5,;1;GAL16V8;GAL16V8;Package_DIP:DIP-20_W7.62mm_Socket;Programmable Logic Array, DIP-20/SOIC-20/PLCC-20;
U6,;1;W65C02SxP;W65C02SxP;Package_DIP:DIP-40_W15.24mm_Socket;W65C02S 8-bit CMOS General Purpose Microprocessor, DIP-40;
U7,;1;HM62256BLP;HM62256BLP;Package_DIP:DIP-28_W7.62mm_Socket;32,768-word × 8-bit High Speed CMOS Static RAM, 70ns, DIP-28;
U8,;1;28C256;28C256;Package_DIP:DIP-28_W15.24mm_Socket;Paged Parallel EEPROM 256Kb (32K x 8), DIP-28/SOIC-28;
U9,;1;W65C51NxP;W65C51NxP;Package_DIP:DIP-28_W15.24mm_Socket;W65C51N CMOS Asynchronous Communication Interface Adapter (ACIA), Serial UART, DIP-28;
X1,;1;24MHz;CXO_DIP8;Oscillator:Oscillator_DIP-8;Crystal Clock Oscillator, DIP8-style metal package;
X3,;1;1.8432MHz;CXO_DIP8;Oscillator:Oscillator_DIP-8;Crystal Clock Oscillator, DIP8-style metal package;
